"team","school","year"
"Buffalo Bills","Louisiana State","1995"
"Miami Dolphins","Georgia","2002"
"New England Patriots","Michigan","1987"
"New York Jets","Illinois","1999"
"Baltimore Ravens","Arizona State","2001"
"Cincinnati Bengals","Michigan","1982"
"Cleveland Browns","Southern California","1999"
"Cleveland Browns","Florida","1999"
"Pittsburgh Steelers","Georgia","1993"
"Houston Texans","Miami","2003"
"Indianapolis Colts","Miami","1999"
"Tennessee Titans","Florida State","1994"
"Denver Broncos","Florida","1999"
"Kansas City Chiefs","Louisiana State","2001"
"Kansas City Chiefs","Texas","2001"
"Oakland Raiders","Florida State","1999"
"San Diego Chargers","California","1973"
"Dallas Cowboys","North Carolina","1998"
"New York Giants","Miami","1981"
"Philadelphia Eagles","Michigan","1997"
"Washington Redskins","Georgia","1996"
"Chicago Bears","Arizona","1993"
"Detroit Lions","Southern California","1967"
"Green Bay Packers","Iowa","1997"
"Green Bay Packers","Shippensburg","1997"
"Green Bay Packers","California","1997"
"Minnesota Vikings","Oklahoma State","2003"
"Atlanta Falcons","Florida State","1995"
"New Orleans Saints","Ohio State","1997"
"Tampa Bay Buccaneers","Florida","1994"
"Arizona Cardinals","Florida State","1989"
"San Francisco 49ers","Penn State","1998"
"Seattle Seahawks","Clemson","1982"
"St Louis Rams","Ohio State","1996"
